Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
DOC,Edith Cowan University,Perth,Doctor of Philosophy,Graduate Research School,Research training program,"35,250",AUD,Years,4,Years,Yes,Yes,Academic Requirement,IELTS, ,Bachelor degree,6.5,,https://www.ecu.edu.au/degrees/courses/doctor-of-philosophy,English,A,"A Doctor of Philosophy (PhD) is an opportunity to pursue a topic you're passionate about at the highest academic level.A PhD is an independent, supervised research project that is assessed on the submission of a thesis or creative work and exegesis. This course may be undertaken in any School within ECU, provided there are supervisors available in your proposed research area, and the resources and facilities required to complete your proposed project are accessible. ECU encourages interdisciplinary research that may span two or more disciplines. As a PhD candidate, you will be expected to develop a project that can be completed in three years full-time. You may submit your thesis any time after two years of full-time study, and the maximum course duration for a PhD is four years full-time. A PhD is a significant undertaking, and if enrolled full-time you are expected to commit at least 35 hours per week to your research.","Throughout your PhD, you will be supported to develop high level research and professional skills such as project design and execution; problem identification, definition and solving; critical thinking and analysis; data management; utilising research methods and methodologies; teamwork, negotiation and networking; high level technical skills in your field; and communicating to different audiences. With the majority of PhD graduates now pursuing careers outside academia, the skills and research training embedded in the PhD assist you to move into a variety of sectors and roles, including management, consulting, commercial R&D, research management, entrepreneurship, public policy, government, finance, technical services, biotech, education, and project coordination/management. ",Australia,Yes,Yes,Yes,Yes,Yes,
DOC,Edith Cowan University,Perth,Doctor of Philosophy,Graduate Research School,Research training program,"35,250",AUD,Years,4,Years,Yes,Yes,Academic Requirement,IELTS, ,Bachelor degree,6.5,,https://www.ecu.edu.au/degrees/courses/doctor-of-philosophy,English,A,"A Doctor of Philosophy (PhD) is an opportunity to pursue a topic you're passionate about at the highest academic level.A PhD is an independent, supervised research project that is assessed on the submission of a thesis or creative work and exegesis. This course may be undertaken in any School within ECU, provided there are supervisors available in your proposed research area, and the resources and facilities required to complete your proposed project are accessible. ECU encourages interdisciplinary research that may span two or more disciplines. As a PhD candidate, you will be expected to develop a project that can be completed in three years full-time. You may submit your thesis any time after two years of full-time study, and the maximum course duration for a PhD is four years full-time. A PhD is a significant undertaking, and if enrolled full-time you are expected to commit at least 35 hours per week to your research.","Throughout your PhD, you will be supported to develop high level research and professional skills such as project design and execution; problem identification, definition and solving; critical thinking and analysis; data management; utilising research methods and methodologies; teamwork, negotiation and networking; high level technical skills in your field; and communicating to different audiences. With the majority of PhD graduates now pursuing careers outside academia, the skills and research training embedded in the PhD assist you to move into a variety of sectors and roles, including management, consulting, commercial R&D, research management, entrepreneurship, public policy, government, finance, technical services, biotech, education, and project coordination/management. ",Australia,Yes,Yes,Yes,Yes,Yes,
DOC,Edith Cowan University,Bunbury,Doctor of Philosophy,Graduate Research School,Research training program,"35,250",AUD,Years,4,Years,Yes,Yes,Academic Requirement,IELTS, ,Bachelor degree,6.5,,https://www.ecu.edu.au/degrees/courses/doctor-of-philosophy,English,A,"A Doctor of Philosophy (PhD) is an opportunity to pursue a topic you're passionate about at the highest academic level.A PhD is an independent, supervised research project that is assessed on the submission of a thesis or creative work and exegesis. This course may be undertaken in any School within ECU, provided there are supervisors available in your proposed research area, and the resources and facilities required to complete your proposed project are accessible. ECU encourages interdisciplinary research that may span two or more disciplines. As a PhD candidate, you will be expected to develop a project that can be completed in three years full-time. You may submit your thesis any time after two years of full-time study, and the maximum course duration for a PhD is four years full-time. A PhD is a significant undertaking, and if enrolled full-time you are expected to commit at least 35 hours per week to your research.","Throughout your PhD, you will be supported to develop high level research and professional skills such as project design and execution; problem identification, definition and solving; critical thinking and analysis; data management; utilising research methods and methodologies; teamwork, negotiation and networking; high level technical skills in your field; and communicating to different audiences. With the majority of PhD graduates now pursuing careers outside academia, the skills and research training embedded in the PhD assist you to move into a variety of sectors and roles, including management, consulting, commercial R&D, research management, entrepreneurship, public policy, government, finance, technical services, biotech, education, and project coordination/management. ",Australia,Yes,Yes,Yes,Yes,Yes,
DOC,Edith Cowan University,Perth,Doctor of Philosophy (Integrated),Graduate Research School,Research training program,"35,300",AUD,Years,4,Years,Yes,Yes,Academic Requirement,IELTS, ,Bachelor degree,6.5,,https://www.ecu.edu.au/degrees/courses/doctor-of-philosophy-integrated,English,A,"The Doctor of Philosophy (Integrated) is a research degree commencing with a cohort-based foundation year of research preparation followed by an independent, supervised research project. The subjects covered in the first year support the development of the research project and include generic research training and discipline-specific units. These provide you with strategies for a successful research journey, appropriate research design and methodology, timely completion, and effective writing and communication skills. You must achieve an overall weighted average mark (WAM) of 70% in the first year of research preparation in order to continue into the thesis component of the course. A PhD(I) may be undertaken in a variety of areas within ECU, provided there are supervisors available in your proposed research area, and the resources and facilities required to complete your proposed project are accessible. ECU encourages interdisciplinary research that may span multiple research fields and Schools. We encourage you to view the Research Activity pages of the School websites for ECU’s areas of research focus.","Throughout your PhD, you will be supported to develop high-level research and professional skills such as project design and execution, problem identification, definition and solving, critical thinking and analysis, data management, utilising research methods and methodologies, teamwork, negotiation and networking, high-level technical skills in your field, and communicating to different audiences. With the majority of PhD graduates now pursuing careers outside academia, the skills and research training embedded in the PhD prime you to move into a variety of sectors and roles, including management, consulting, commercial R&D, research management, entrepreneurship, public policy, government, finance, technical services, biotech, education, and project coordination/management. ",Australia,Yes,Yes,Yes,Yes,Yes,
DOC,Edith Cowan University,Perth,Doctor of Philosophy (Integrated),Graduate Research School,Research training program,"35,300",AUD,Years,4,Years,Yes,Yes,Academic Requirement,IELTS, ,Bachelor degree,6.5,,https://www.ecu.edu.au/degrees/courses/doctor-of-philosophy-integrated,English,A,"The Doctor of Philosophy (Integrated) is a research degree commencing with a cohort-based foundation year of research preparation followed by an independent, supervised research project. The subjects covered in the first year support the development of the research project and include generic research training and discipline-specific units. These provide you with strategies for a successful research journey, appropriate research design and methodology, timely completion, and effective writing and communication skills. You must achieve an overall weighted average mark (WAM) of 70% in the first year of research preparation in order to continue into the thesis component of the course. A PhD(I) may be undertaken in a variety of areas within ECU, provided there are supervisors available in your proposed research area, and the resources and facilities required to complete your proposed project are accessible. ECU encourages interdisciplinary research that may span multiple research fields and Schools. We encourage you to view the Research Activity pages of the School websites for ECU’s areas of research focus.","Throughout your PhD, you will be supported to develop high-level research and professional skills such as project design and execution, problem identification, definition and solving, critical thinking and analysis, data management, utilising research methods and methodologies, teamwork, negotiation and networking, high-level technical skills in your field, and communicating to different audiences. With the majority of PhD graduates now pursuing careers outside academia, the skills and research training embedded in the PhD prime you to move into a variety of sectors and roles, including management, consulting, commercial R&D, research management, entrepreneurship, public policy, government, finance, technical services, biotech, education, and project coordination/management. ",Australia,Yes,Yes,Yes,Yes,Yes,
GCERT,Edith Cowan University,Perth,Graduate Certificate in Broadcasting (Radio),Arts and Humanities,"12,800","15,450",AUD,Years,6,Months,Yes,No,Academic Requirement,IELTS, ,Bachelor degree,6.5,,https://www.ecu.edu.au/degrees/courses/graduate-certificate-in-broadcasting-radio,English,A,"Prepares students for a career in radio and online broadcasting. This practical course is taught by professional journalists and broadcasters, and has the backing of the media industry around Australia. Course content includes the journalistic, presentation, technical and people skills required by today's electronic media professionals.","This course prepares students for employment as researchers, reporters, presenters and producers in radio. ",Australia,No,Yes,No,Yes,No,
GCERT,Edith Cowan University,Perth,Graduate Certificate in Data Science,Science,"12,900","16,050",AUD,Years,6,Months,Yes,Yes,Academic Requirement,IELTS, ,Bachelor degree,6.5,,https://www.ecu.edu.au/degrees/courses/graduate-certificate-in-data-science,English,A,"This course is focused on establishing a solid foundation in mathematics, statistics and computer science/programming methods/tools that are central to data science. Data Science is an inter-disciplinary field, drawing on mathematics, statistics, and computer science, that uses scientific methods, processes, algorithms and systems to extract knowledge and insights from structured and unstructured data. Data Science is a significant area of growth and potential employment in Australia and the Asia-Pacific region. This course provides the necessary foundations in the disciplines of mathematics, statistics and computer science, and develops student knowledge and skills in some of the key tools and techniques relevant to data science. Students who complete this course will be able to articulate directly into the second semester of the Master of Data Science course.","Data Scientist, Computational Scientist. Data Analyst, Informatician",Australia,Yes,Yes,Yes,Yes,Yes,
GCERT,Edith Cowan University,Perth,Graduate Certificate in Environmental Assessment and Management,Science,"9,550","16,800",AUD,Years,6,Months,Yes,Yes,Academic Requirement,IELTS, ,Bachelor degree,6.5,,https://www.ecu.edu.au/degrees/courses/graduate-certificate-in-environmental-assessment-and-management,English,A,"Provides opportunities for professionals who wish to add to their qualifications and experience by extending their knowledge in environmental assessment and management.It is designed for professionals who require the skills and knowledge to integrate environmental planning, conservation and monitoring into the broader decision-making of their organisations. The course covers the areas of environmental impact assessment and environmental management set in the context of our major ecosystems, and emphasizes the global, regional and local nature of environmental issues. Students may also learn about sustainability auditing, risk assessment and waste management.","This course provides students with exposure to industry/organisations as an integrated part of their units. This provides an excellent springboard for employment following this degree. Employment opportunities will be in local government, industry, state, national government and non-government organisations, particularly in the biology, ecology, mining and research sectors.",Australia,Yes,Yes,Yes,Yes,Yes,
GCERT,Edith Cowan University,Perth,Graduate Certificate in Public Health,Medical and Health Sciences,"10,750",No fee,AUD,Years,6,Months,Yes,Yes,Academic Requirement,IELTS, ,Bachelor degree,6.5,,https://www.ecu.edu.au/degrees/courses/graduate-certificate-in-public-health,English,D,Public health is a broad area concerned with improving health and well-being of communities. Current Australian priorities for public health are to reduce health disparities between different population groups.,"Public health, evaluation, strategic planning, health promotion, health project management, public health planning, population health, health leadership",Australia,Yes,Yes,Yes,Yes,No,
GCERT,Edith Cowan University,Perth,Graduate Certificate of Applied Digital Marketing,Business and Law,"12,050","15,100",AUD,Years,6,Months,Yes,Yes,Academic Requirement,IELTS, ,Bachelor degree,6.5,,https://www.ecu.edu.au/degrees/courses/graduate-certificate-of-applied-digital-marketing,English,A,"This course is specifically designed in consultation with industry to create world ready graduates that are proficient in the knowledge and application of digital marketing.Confidence and competence in the application of digital and social media knowledge and associated skills is crucial for all marketing professionals, as well as for those who own or manage a small to medium business enterprise. Students will critique topical, current and relevant issues to modern-day marketing practice and will learn how to think strategically when it comes to social and digital media. Students will also use industry-standard software and technology to apply these skills. Some of the tools students will work with include Salesforce Social Studio for publishing, engaging and analysing social media content and trends; WIX to create, publish and manage website content; Google Analytics to analyse website performance; and Gaze Recorder to analyse the effectiveness of digital content on a website. All students will have the opportunity to develop a digital marketing plan for a real organisation, and will learn how digital analytics, Search Engine Optimisation, and artificial intelligence, amongst other digital technologies, can be applied to develop new products or services and strategic marketing plans, to assist in organisational success.","Digital Marketing Specialist, Social Media Manager, Content Creator, Social Media Strategist, Marketing Coordinator, Digital Marketing Campaign Coordinator. ",Australia,Yes,Yes,Yes,Yes,No,
