Career_Outcomes/path,Prerequisite_2_grade_2,Course,Face_to_Face,Blended,Prerequisite_3,Local_Fees,Prerequisite_1,Distance,Prerequisite_3_grade_3,Online,Website,Prerequisite_1_grade_1,Currency,Full_Time,Level_Code,Duration_Time,University,Course_Lang,Country,Faculty,Remarks,Duration,Currency_Time,Prerequisite_2,Offline,Description,Int_Fees,Part_Time,City,Availability
,,Graduate Certificate in Accounting,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCACC,,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,2.0,Years,,Yes,"The Graduate Certificate in Accounting is a course that will service the needs of students requiring four or fewer units for accreditation with the professional accounting bodies. It can serve as an entry and exit point for the Master of Professional Accounting. The course comprises four units (that is 24 credit points) and is usually used to supplement existing studies in accounting to satisfy the entry requirements of the professional accounting organisations. Subjects are drawn from the Master of Professional Accounting and may cover introductory as well as advanced units in accounting, finance, systems, law, auditing, economics and business statistics. ",,Yes,Armidale,A
,,Graduate Certificate in Agribusiness,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCAGB,,AUD,No,MST,Year,University of New England,English,Australia,"Science and Agriculture, Business and Law",,1.0,Years,,Yes,Demand for agribusiness professionals continues to grow. This course provides students with the opportunity to enhance or develop their competencies in key multi-disciplinary agribusiness content areas. It is designed for both candidates with an agribusiness background wishing to enhance their skills and candidates seeking to gain employment in the agribusiness sector.,,Yes,Armidale,A
,,Graduate Certificate in Agriculture,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCAGR,,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,4.0,Years,,Yes,The Graduate Certificate in Agriculture is the first award level of a fully articulated program which gives qualified applicants the opportunity for study at a higher level in agriculture related disciplines - Master of Science in Agriculture.,,Yes,Armidale,A
,,Graduate Certificate in Applied Economics,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCAPEC,,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,4.0,Years,,Yes,"This is an Exit Award only for candidates who have completed 24 credit points towards either the Graduate Diploma in Economics, Master of Economics or the Master of Economic and Regional Development.",,No,Armidale,A
,,Graduate Certificate in Applied Linguistics,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCAPL,,AUD,No,MST,Years,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,6.0,Years,,Yes,This course is an Exit Award only for students who have completed 24 credit points in the Master of Applied Linguistics.,,Yes,Armidale,A
,,Graduate Certificate in Arts,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCA,,AUD,No,MST,Years,University of New England,English,Australia,"Humanities, Arts, Social Sciences and Education",,4.0,Years,,Yes,The Graduate Certificate in Arts is designed to enable graduates who wish to expand on their undergraduate program or who wish to change the direction of their focus and pursue studies in an area of personal interest.,,Yes,Armidale,A
,,Graduate Certificate in Business,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCBUS,,AUD,No,MST,Year,University of New England,English,Australia,"Science and Agriculture, Business and Law",,1.0,Years,,Yes,"This course provides students with the opportunity to enhance or develop their competencies in key multidisciplinary business content areas including accounting, economics, finance, human resource management, management and marketing. It is designed for students who want to enhance their business skills and employment opportunities and can be tailored to suit individual work and career goals.",,Yes,Armidale,A
,,Graduate Certificate in Data and Cyber Management,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCDCM,,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,2.0,Years,,Yes,"The Graduate Certificate in Data and Cyber Management is targeted at leaders who are looking to equip themselves with the knowledge and skills needed to address the importance of effective cyber management in any organisation. The Graduate Certificate gives leaders an opportunity to explore contemporary and global data security strategies, become familiar with the legal and political spectrum of data security and provide the tools to affect a positive organisation-wide data security culture.",,Yes,Armidale,A
,,Graduate Certificate in Data Science,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCDSC,,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,6.0,Years,,Yes,"Data is a vital asset valued by virtually every organisation in the world. It provides the basis for sensible, evidence-based decision making, and the ability to manage and make sense of data is a key skill in the modern workplace. In the last decade, streams of data of various types have grown in volume and velocity such that they require specialist skills in order to get the most value from them. Data scientists are responsible for building intelligent systems, mastering intuitive processes and bringing structure to the vast quantities of data to unlock the potential for improvement and competitive advantage.",,Yes,Armidale,A
,,Graduate Certificate in Disability Practice,Yes,No,,,,Yes,,Yes,https://my.une.edu.au/courses/2020/courses/GCDIS,,AUD,No,MST,Years,University of New England,English,Australia,"Science and Agriculture, Business and Law",,2.0,Years,,Yes,This course was previously known as Graduate Certificate in Disability.,,Yes,Armidale,A
